x,y,a1g_c center,a1g_c height,a1g_c width,a1g_c confidence,a1g_d center,a1g_d height,a1g_d width,a1g_d confidence,eg center,eg height,eg width,eg confidence
8,2,594.5369530957491,0.8486945434477562,72.51270206242002,1.0,539.8634771562665,1.3609618618444628,61.59485618696544,1.0,480.6828976599046,7.5825714329246745,61.76179025402415,1.0
9,2,596.4093290470329,4.243779333014087,71.69885871978067,1.0,540.6975368955978,8.191753063341844,75.0,1.0,474.0421493869475,2.0117347673748336,64.61434340096991,1.0
10,2,602.0519525217057,5.589567653742145,74.84178488731825,1.0,537.0901039313184,6.012055950384115,62.70190142703278,1.0,480.47730120551887,2.202577833715253,55.79971136480148,1.0
11,2,600.2742275586058,1.9364003120856939,55.40722455120596,1.0,540.3212492624139,3.8626190910508815,54.601742239573596,1.0,474.88538602083173,1.457665581772841,65.0,1.0
12,2,598.3490381722704,5.910082099597467,72.11198476889906,1.0,0.0,0.0,0.0,0.0,473.01572463707686,3.097672567704441,65.0,1.0
13,2,595.4899259813401,1.1739221139149012,44.86268855102853,1.0,0.0,0.0,0.0,0.0,481.63824422574476,1.9162081970255853,54.3592643983932,1.0
14,2,601.9822423093835,4.521909581034567,75.0,1.0,0.0,0.0,0.0,0.0,479.140860356783,2.230915601074833,33.53995561071186,1.0
15,2,0.0,0.0,0.0,0.0,540.1326766732845,1.8159465450026682,66.93234078653799,1.0,471.0753174434818,7.254630221988114,65.0,1.0
16,2,0.0,0.0,0.0,0.0,534.98914837553,2.6119981883552774,71.6929220185372,1.0,475.87970810991953,5.364197638593846,62.19167955882686,1.0
17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,478.0468401752421,10.052337220963514,65.0,1.0
18,2,0.0,0.0,0.0,0.0,539.1939462792932,2.423497050592184,75.0,1.0,477.49917927520596,5.7157751153934235,65.0,1.0
19,2,595.4817319351495,2.7409704864054545,74.26984474080113,1.0,0.0,0.0,0.0,0.0,479.194247009079,2.4038434510270927,65.0,1.0
20,2,599.7077081628856,0.8243258849052698,67.61485620646243,1.0,539.6151319467797,1.4656626579329177,75.0,1.0,476.23567233472954,1.1367501572724523,58.202125555106555,1.0
21,2,598.9563152595516,1.3036852427560395,72.49743596183865,1.0,539.6785507236225,2.019995209190363,52.58912584260116,1.0,473.0219273272396,1.5594840991546863,46.66701363011916,1.0
22,2,604.6951220875591,2.889470256968316,63.967775047522295,1.0,542.1123139800573,0.7066990546890612,74.78154597193736,1.0,0.0,0.0,0.0,0.0
23,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.79940047483495,3.6107764242674625,65.0,1.0
24,2,598.7738947250871,0.32582345221198933,64.67214927223051,0.92,0.0,0.0,0.0,0.0,481.834053262064,2.2998220123341904,46.828725921045276,1.0
25,2,603.2771057119501,63.500556589789056,37.45731854339997,1.0,538.9058095202375,46.02139600933286,58.34914199875403,1.0,480.67469090202366,50.825680626305655,42.00920606727635,1.0
26,2,603.7120484105617,4.237692753337936,58.369696456270596,1.0,540.2249492780486,8.738538223078708,71.74292639655957,1.0,473.7619285441022,12.701417818317807,65.0,1.0
27,2,594.9166287192564,0.31404236890314907,63.43136270397633,0.24,541.8628049520263,1.9527660505982747,69.66968102027784,1.0,481.28644892785525,3.592947142100212,61.76073241388089,1.0
28,2,598.8726694888128,2.120791532047701,37.354459363100055,1.0,538.5814819617834,2.341741901940126,72.15479128449155,1.0,484.43006819753856,0.4238197826823526,60.61653528668344,1.0
29,2,598.3590488980544,1.0466871994144449,63.68303512569193,1.0,539.8553105992498,1.6414756001157402,58.01618090970041,1.0,473.37500008420005,1.3233248450674255,52.14546648153419,1.0
0,3,592.3987202985039,0.8378510384388808,75.0,0.82,535.4256729875779,0.43132113133732486,73.08901243759318,1.0,488.5342758871416,3.523143234229043,56.883318593485356,1.0
1,3,0.0,0.0,0.0,0.0,537.4712696796284,1.6383281632183784,66.85858310406249,1.0,482.0148555956344,2.9434803217615584,65.0,1.0
2,3,592.0250965568857,1.017657375197936,68.86402271911285,1.0,543.130552463195,1.8328302854365621,62.93613994161017,1.0,0.0,0.0,0.0,0.0
3,3,599.8334559019563,4.258189415725718,73.08644953383818,1.0,541.2168006454168,1.5296704422937524,72.80149352442223,1.0,0.0,0.0,0.0,0.0
4,3,603.7640299680312,2.486486206166416,58.36100838690614,1.0,537.7160695982069,1.3169533693440958,75.0,1.0,0.0,0.0,0.0,0.0
5,3,0.0,0.0,0.0,0.0,542.0568276305999,4.774177827061877,75.0,1.0,478.1274837878579,2.666460193890599,65.0,1.0
6,3,600.2997831909947,1.3678691883288319,70.15456196738492,0.88,542.0392124848499,1.9363324925906875,60.98240920080848,1.0,478.3315748244996,3.037894504321368,61.43268828294236,1.0
7,3,600.819630886763,4.62965728661486,59.38370311412588,1.0,542.1691847074413,4.310105857575788,75.0,1.0,474.44112631539974,11.859237373220433,52.65862272322074,1.0
8,3,601.5369104129896,5.864641642316677,75.0,1.0,0.0,0.0,0.0,0.0,476.4468099272924,8.487134371710619,65.0,1.0
9,3,596.5554284002851,2.939078226743838,49.85929035734194,1.0,538.4702502485886,7.933992614993237,75.0,1.0,482.226876036781,3.342539894633898,48.99779109503983,1.0
10,3,595.0090915403757,1.5331091719830776,55.0300488667604,1.0,533.890987759203,7.659046797862254,68.9600314019752,1.0,486.17564318238084,3.0314397103654835,45.72824089864046,1.0
11,3,600.282585167118,6.143162765267158,75.0,1.0,542.1977808137148,6.715101694718739,71.58253854343674,1.0,483.6518380223058,3.1893079140030482,65.0,1.0
12,3,598.6030119766251,4.314002130389903,65.70301867965136,1.0,535.6418044229689,7.499106568846923,52.30135282332916,1.0,482.89193381722527,3.6079432928271915,61.68370133066299,1.0
13,3,595.2725381226869,1.7739949223903932,38.120956211419376,1.0,540.4183861534912,4.734694249462915,75.0,1.0,480.4779856794737,1.9998107073996738,52.097925884766475,1.0
14,3,0.0,0.0,0.0,0.0,534.1854547923284,2.229692759293788,44.27690070632891,1.0,470.04118345990383,6.049939477769971,64.88438779805703,1.0
15,3,596.9885641912406,0.6071056000568333,66.73261344880099,1.0,538.01919794056,1.3097044125181445,56.725277515469884,1.0,480.29906677690866,2.5651321403214267,54.634273006986916,1.0
16,3,594.7042880715089,0.746615556681761,72.09665291315497,1.0,0.0,0.0,0.0,0.0,475.91387271589616,3.5379746431702936,55.007907103166126,1.0
