x,y,d center,d height,d width,d confidence,g center,g height,g width,g confidence,u1 center,u1 height,u1 width,u1 confidence,u2 center,u2 height,u2 width,u2 confidence,u3 center,u3 height,u3 width,u3 confidence
22,2,1332.1628881887125,10.314389585054766,161.1551684,1.0,1599.604969050704,17.82622607176917,74.22849147667225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2,1332.8906517072812,10.546134701050669,161.1551684,1.0,1595.1129262933025,11.098031090703547,62.41883430677568,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2,1330.17316503631,17.395882728123002,161.1551684,1.0,1598.6399931769924,16.5143066957181,85.61748429009354,1.0,1173.577248911932,2.276965329711304,78.67128024666755,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2,1333.012733192,12.949348789418973,161.1551684,1.0,1600.4407047846719,10.381765362588984,83.627643081579,1.0,1170.4435228224593,0.8526309952543045,67.76160980889345,0.66,1505.3834958286507,1.902305987708097,156.4266689,0.2,1567.679469387,7.517734978587448,65.04194013697774,1.0
26,2,1333.012733192,16.238354284588716,161.1551684,1.0,1600.6718051010569,13.004942920714456,71.31044477346157,1.0,0.0,0.0,0.0,0.0,1507.5359982176915,1.7743299192557378,125.29528407604124,0.2,1565.953720845421,9.945052486444496,61.72392854,1.0
27,2,1331.8080852475575,12.467119318878122,161.1551684,1.0,1597.7940719045125,13.612418999886538,79.17126185298366,1.0,0.0,0.0,0.0,0.0,1508.911928616914,1.1955272700264075,147.04625629916274,0.8,0.0,0.0,0.0,0.0
28,2,1332.6393791730584,7.557693574588132,162.50594858969635,1.0,1595.6793241329772,7.445662404780523,78.695775774765,1.0,0.0,0.0,0.0,0.0,1508.3135901882704,0.7316775945959619,156.4266689,0.18,0.0,0.0,0.0,0.0
29,2,1332.2120330199634,5.473892383948435,161.1551684,1.0,1598.5705583823205,3.4398600328245816,66.9263206176944,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1567.679469387,1.9464430673964008,68.52028928147911,1.0
0,3,1333.012733192,11.214827580755673,161.1551684,1.0,1598.9273255625887,7.594160569392655,70.66369482784766,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.2880926874295,5.415061663519735,61.72392854,1.0
1,3,1329.6927770769064,8.68790095721292,164.2828023301499,1.0,1596.9395720392542,10.668642382408008,70.58269405544553,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1564.132728329907,3.5861073786700968,69.3062312782934,1.0
2,3,1332.2284371815306,13.279015038572584,167.62054950967675,1.0,1592.753806688129,11.358090111745469,84.25063461820321,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1561.4936643019187,4.445889556044146,61.72392854,1.0
3,3,1329.9346327865692,14.243805054446144,161.1551684,1.0,1597.4050641841836,10.722218803710081,67.5788907860972,1.0,0.0,0.0,0.0,0.0,1504.6535442661614,2.936979681915922,112.0388249,0.38,1563.6994861335725,12.765121749356279,76.80721312,1.0
4,3,1331.5751354505553,12.40108539754031,165.27370870125722,1.0,1593.1517008202397,18.305178534961474,83.6926918780515,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.244876613,6.694463994462497,68.34982142271346,1.0
5,3,1330.056511192314,9.946986653194902,192.01786688373983,1.0,1593.376197605548,10.384080208802787,86.25360575715726,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1562.9537786512733,11.972797549662767,73.90215085900248,1.0
6,3,1329.6009468322898,16.528634143388604,171.17685622943213,1.0,1596.20321467544,25.20748713847649,70.83436255398522,1.0,1172.198771468846,3.818459069922182,94.51137551082073,1.0,1507.176793686038,7.670119969449451,156.4266689,1.0,1566.2051629634302,34.97770846201428,76.44180773252818,1.0
7,3,1332.2174575823494,11.270017036551835,161.1551684,1.0,1596.7240637351158,21.969941287974706,63.58062543224458,1.0,1172.3377952746428,3.9000859996332666,98.53353408,0.88,1509.6381062400785,7.937256893047206,119.60454553159478,0.42,1563.4340733333665,39.289964580815465,76.80721312,1.0
8,3,1332.3226238905654,4.9027388297632655,161.1551684,1.0,1592.5155373374248,9.497401200710133,83.41300791059184,1.0,0.0,0.0,0.0,0.0,1505.0990573249696,5.304687945717302,127.33943992259222,1.0,1565.6833976322314,10.717505364964811,70.77892606255558,1.0
9,3,1330.4021672730091,6.0300487238082034,168.51191940769908,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1563.813746135757,17.342858310731586,71.17594339232677,1.0
