timestep,pixels
81,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
82,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
83,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
84,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
85,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
86,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
87,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
88,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
89,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
90,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
91,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
92,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
93,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
94,"17,16;18,16;19,16;16,17;17,17;18,17;19,17;20,17;16,18;17,18;18,18;19,18;20,18;21,18;16,19;17,19;18,19;19,19;20,19;21,19;17,20;18,20;19,20;20,20;21,20;18,21;19,21;20,21;21,21;19,22;20,22"
