timestep,pixels
97,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
98,"12,12;13,12;14,12;15,12;11,13;12,13;13,13;14,13;15,13;16,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;12,16;13,16;14,16;15,16;13,17;14,17;15,17"
99,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
100,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
101,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
102,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
103,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
104,"13,13;14,13;15,13;16,13;12,14;13,14;14,14;15,14;16,14;17,14;12,15;13,15;14,15;15,15;16,15;17,15;12,16;13,16;14,16;15,16;16,16;17,16;13,17;14,17;15,17;16,17;14,18;15,18;16,18"
105,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
106,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
107,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
108,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
109,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
110,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
111,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
112,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
113,"12,13;13,13;14,13;15,13;11,14;12,14;13,14;14,14;15,14;16,14;11,15;12,15;13,15;14,15;15,15;16,15;11,16;12,16;13,16;14,16;15,16;16,16;12,17;13,17;14,17;15,17;13,18;14,18;15,18"
