time/h,Ewe/V,timestep
3.52413,4.0798,15
3.53246,4.08108,15
3.5408,4.08228,15
3.54913,4.08344,15
3.55746,4.08461,15
3.5658,4.0858,15
3.57413,4.08704,15
3.58246,4.08821,15
3.5908,4.08946,15
3.59913,4.09069,15
3.60746,4.09181,15
3.6158,4.09314,15
3.62413,4.09431,15
3.63246,4.09565,15
3.6408,4.09675,15
3.64913,4.09815,15
3.65746,4.0991,16
3.6658,4.10051,16
3.67413,4.1017,16
3.68246,4.10301,16
3.6908,4.10421,16
3.69913,4.10542,16
3.70746,4.10668,16
3.7158,4.10787,16
3.72413,4.10912,16
3.73246,4.11049,16
3.7408,4.11175,16
3.74913,4.11294,16
3.75746,4.11422,16
3.7658,4.11544,16
3.77413,4.11675,16
3.78246,4.11796,16
3.7908,4.11927,16
3.79913,4.12056,16
3.80746,4.12181,16
3.8158,4.12317,16
3.82413,4.12432,16
3.83246,4.12567,16
3.8408,4.12696,16
3.84913,4.12816,16
3.85746,4.12961,16
3.8658,4.13068,16
3.87413,4.13197,16
3.88246,4.13341,16
3.8908,4.13461,16
3.89913,4.13587,16
3.90746,4.13721,16
3.9158,4.13853,17
3.92413,4.13992,17
3.93246,4.14111,17
3.9408,4.14238,17
3.94913,4.14358,17
3.95746,4.14523,17
3.9658,4.14642,17
3.97413,4.14768,17
3.98246,4.14911,17
3.9908,4.15033,17
3.99913,4.15171,17
4.00746,4.153,17
4.0158,4.15442,17
4.02413,4.15569,17
4.03246,4.15692,17
4.0408,4.15838,17
4.04913,4.15963,17
4.05746,4.16103,17
4.0658,4.16234,17
4.07413,4.1637,17
4.08246,4.16503,17
4.0908,4.1665,17
4.09913,4.16772,17
4.10746,4.16911,17
4.1158,4.17051,17
4.12413,4.17201,17
4.13246,4.17331,17
4.1408,4.17476,17
4.14913,4.17606,17
4.15746,4.17742,17
4.1658,4.1788,17
4.17413,4.18008,18
4.18246,4.1815,18
4.1908,4.18291,18
4.19913,4.18423,18
4.20746,4.18567,18
4.2158,4.18709,18
4.22413,4.1885,18
4.23246,4.18984,18
4.2408,4.19124,18
4.24913,4.19264,18
4.25746,4.19409,18
4.2658,4.19546,18
4.27413,4.19688,18
4.28246,4.19837,18
4.2908,4.19978,18
4.29913,4.20129,18
4.30746,4.20256,18
4.3158,4.20401,18
4.32413,4.20553,18
4.33246,4.20695,18
4.3408,4.20843,18
4.34913,4.20978,18
4.35746,4.21118,18
4.3658,4.21251,18
4.37413,4.21399,18
4.38246,4.21564,18
4.3908,4.21686,18
4.39913,4.21838,18
4.40746,4.21985,18
4.4158,4.22128,18
4.42413,4.22281,19
4.43246,4.22414,19
4.4408,4.22562,19
4.44913,4.22714,19
4.45746,4.22864,19
4.4658,4.22998,19
4.47413,4.23156,19
4.48246,4.23298,19
4.4908,4.23452,19
4.49913,4.23585,19
4.50746,4.23737,19
4.5158,4.23891,19
4.52413,4.24038,19
4.53246,4.24182,19
4.5408,4.24331,19
4.54913,4.24477,19
4.55746,4.24634,19
4.5658,4.24788,19
4.57413,4.24919,19
4.58246,4.25089,19
4.5908,4.25231,19
4.59913,4.25379,19
4.60746,4.25522,19
4.6158,4.25684,19
4.62413,4.25831,19
4.63246,4.25983,19
4.6408,4.26135,19
4.64913,4.26274,19
4.65746,4.26433,19
4.6658,4.26572,19
4.67413,4.2674,19
4.68246,4.26878,20
4.6908,4.27035,20
4.69913,4.27176,20
4.70746,4.27337,20
4.7158,4.27487,20
4.72413,4.27656,20
4.73246,4.27798,20
4.7408,4.27955,20
4.74913,4.28108,20
4.75746,4.28264,20
4.7658,4.2841,20
4.77413,4.28576,20
4.78246,4.28719,20
4.7908,4.28876,20
4.79913,4.29026,20
4.80746,4.29186,20
4.8158,4.29347,20
4.82413,4.29502,20
4.83246,4.29659,20
4.8408,4.29799,20
4.84913,4.29962,20
4.85746,4.30119,20
4.8658,4.30268,20
4.87413,4.3043,20
4.88246,4.30572,20
4.8908,4.3075,20
4.89913,4.30889,20
4.90746,4.31055,20
4.9158,4.31219,20
4.92413,4.31366,20
4.93246,4.31535,21
4.9408,4.31687,21
4.94913,4.31852,21
4.95746,4.32012,21
4.9658,4.32163,21
4.97413,4.32329,21
4.98246,4.32486,21
4.9908,4.32646,21
4.99913,4.32801,21
5.00746,4.32951,21
5.0158,4.33131,21
5.02413,4.33283,21
5.03246,4.33433,21
5.0408,4.33595,21
5.04913,4.33749,21
5.05746,4.33899,21
5.0658,4.34058,21
5.07413,4.34224,21
5.08246,4.34378,21
5.0908,4.34541,21
5.09913,4.34692,21
5.10746,4.34856,21
5.1158,4.35005,21
5.12413,4.35162,21
5.13246,4.3532,21
5.1408,4.35476,21
5.14913,4.35632,21
5.15746,4.35786,21
5.1658,4.35934,21
5.17413,4.3609,21
5.18246,4.36232,21
5.1908,4.36385,22
5.19913,4.36531,22
5.20746,4.36681,22
5.2158,4.36839,22
5.22413,4.3697,22
5.23246,4.3712,22
5.2408,4.37262,22
5.24913,4.37412,22
5.25746,4.37552,22
5.2658,4.37684,22
5.27413,4.37831,22
5.28246,4.37973,22
5.2908,4.38112,22
5.29913,4.38262,22
5.30746,4.38398,22
5.3158,4.38515,22
5.32413,4.38663,22
5.33246,4.38771,22
5.3408,4.3891,22
5.34913,4.39028,22
5.35746,4.39157,22
5.3658,4.3929,22
5.37413,4.3941,22
5.38246,4.3954,22
5.3908,4.39646,22
5.39913,4.39786,22
5.40746,4.39885,22
5.4158,4.40014,22
5.42413,4.40125,22
5.43246,4.4025,22
5.4408,4.40358,22
5.44913,4.40472,23
5.45746,4.40589,23
5.4658,4.40692,23
5.47413,4.40817,23
5.48246,4.40927,23
5.4908,4.41034,23
5.49913,4.41148,23
5.50746,4.41245,23
5.5158,4.41342,23
5.52413,4.41459,23
5.53246,4.41558,23
5.5408,4.4166,23
5.54913,4.41766,23
5.55746,4.41862,23
5.5658,4.41956,23
5.57413,4.42058,23
5.58246,4.42152,23
5.5908,4.42253,23
5.59913,4.42344,23
5.60746,4.42449,23
5.6158,4.42544,23
5.62413,4.42643,23
5.63246,4.4272,23
5.6408,4.42831,23
5.64913,4.42933,23
5.65746,4.43021,23
5.6658,4.43113,23
5.67413,4.43194,23
5.68246,4.43281,23
5.6908,4.43368,23
5.69913,4.43468,24
5.70746,4.43552,24
5.7158,4.4364,24
5.72413,4.43738,24
5.73246,4.43824,24
5.7408,4.43903,24
5.74913,4.43984,24
5.75746,4.44067,24
5.7658,4.44168,24
5.77413,4.44237,24
5.78246,4.44314,24
5.7908,4.44402,24
5.79913,4.44482,24
5.80746,4.44559,24
5.8158,4.44626,24
5.82413,4.44728,24
5.83246,4.44801,24
5.8408,4.44884,24
5.84913,4.44953,24
5.85746,4.45031,24
5.8658,4.45107,24
5.87413,4.45186,24
5.88246,4.45263,24
5.8908,4.4535,24
5.89913,4.45415,24
5.90746,4.45489,24
5.9158,4.45556,24
5.92413,4.45625,24
5.93246,4.45716,24
5.9408,4.4578,24
5.94913,4.45859,24
5.95746,4.45921,25
5.9658,4.45992,25
5.97413,4.46076,25
5.98246,4.46139,25
5.9908,4.46201,25
5.99913,4.46275,25
6.00746,4.46343,25
6.0158,4.46413,25
6.02413,4.46481,25
6.03246,4.46533,25
6.0408,4.46599,25
6.04913,4.46666,25
6.05746,4.46732,25
6.0658,4.46801,25
6.07413,4.46869,25
6.08246,4.46937,25
6.0908,4.47,25
6.09913,4.47067,25
6.10746,4.47135,25
6.1158,4.472,25
6.12413,4.47255,25
6.13246,4.47313,25
6.1408,4.47381,25
6.14913,4.47447,25
6.15746,4.47497,25
6.1658,4.47568,25
6.17413,4.47624,25
6.18246,4.47681,25
6.1908,4.47747,25
6.19913,4.47797,25
6.20746,4.47863,26
6.2158,4.47911,26
6.22413,4.47978,26
6.23246,4.4803,26
6.2408,4.48088,26
6.24913,4.48153,26
6.25746,4.48204,26
6.2658,4.4826,26
6.27413,4.48318,26
6.28246,4.48359,26
6.2908,4.48416,26
6.29913,4.48462,26
6.30746,4.48519,26
6.3158,4.48583,26
6.32413,4.48635,26
6.33246,4.48695,26
6.3408,4.48758,26
6.34913,4.48816,26
6.35746,4.48881,26
6.3658,4.48916,26
6.37413,4.48967,26
6.38246,4.49022,26
6.3908,4.49081,26
6.39913,4.49127,26
6.40746,4.49169,26
6.4158,4.49234,26
6.42413,4.49272,26
6.43246,4.49321,26
6.4408,4.49375,26
6.44913,4.49428,26
6.45746,4.4946,26
6.4658,4.49517,27
6.47413,4.4956,27
6.48246,4.49607,27
6.4908,4.49652,27
6.49913,4.49715,27
6.50746,4.49745,27
6.5158,4.49795,27
6.52413,4.49827,27
6.53246,4.49881,27
6.5408,4.49924,27
6.54913,4.49968,27
6.55746,4.50004,27
6.5658,4.50052,27
6.57413,4.50092,27
6.58246,4.50119,27
6.5908,4.50163,27
6.59913,4.50207,27
6.60746,4.50259,27
6.6158,4.50292,27
6.62413,4.50332,27
6.63246,4.50366,27
6.6408,4.50411,27
6.64913,4.50442,27
6.65746,4.50498,27
6.6658,4.50531,27
6.67413,4.50579,27
6.68246,4.50622,27
6.6908,4.50651,27
6.69913,4.50699,27
6.70746,4.50724,27
6.7158,4.50774,27
6.72413,4.50813,28
6.73246,4.50858,28
6.7408,4.50906,28
6.74913,4.5094,28
6.75746,4.50971,28
6.7658,4.51,28
6.77413,4.51043,28
6.78246,4.51078,28
6.7908,4.51103,28
6.79913,4.51135,28
6.80746,4.51169,28
6.8158,4.51198,28
6.82413,4.51233,28
6.83246,4.51272,28
6.8408,4.51306,28
6.84913,4.51352,28
6.85746,4.51368,28
6.8658,4.51415,28
6.87413,4.5144,28
6.88246,4.51468,28
6.8908,4.51502,28
6.89913,4.51534,28
6.90746,4.51565,28
6.9158,4.51615,28
6.92413,4.51652,28
6.93246,4.51679,28
6.9408,4.51716,28
6.94913,4.51733,28
6.95746,4.51773,28
6.9658,4.51815,28
6.97413,4.51841,29
6.98246,4.51887,29
6.9908,4.51911,29
6.99913,4.51962,29
7.00746,4.5197,29
7.0158,4.51991,29
7.02413,4.52031,29
7.03246,4.52062,29
7.0408,4.52076,29
7.04913,4.52108,29
7.05746,4.52152,29
7.0658,4.52159,29
7.07413,4.52199,29
7.08246,4.52208,29
7.0908,4.52241,29
7.09913,4.52272,29
7.10746,4.52299,29
7.1158,4.52317,29
7.12413,4.52357,29
7.13246,4.52372,29
7.1408,4.52386,29
7.14913,4.52428,29
7.15746,4.52448,29
7.1658,4.52481,29
7.17413,4.52494,29
7.18246,4.52524,29
7.1908,4.52566,29
7.19913,4.52581,29
7.20746,4.52602,29
7.2158,4.52641,29
7.22413,4.52667,29
7.23246,4.52709,30
7.2408,4.5272,30
7.24913,4.52762,30
7.25746,4.5277,30
7.2658,4.52795,30
7.27413,4.52802,30
7.28246,4.52835,30
7.2908,4.52867,30
7.29913,4.52879,30
7.30746,4.52896,30
7.3158,4.52925,30
7.32413,4.52936,30
7.33246,4.52967,30
7.3408,4.52995,30
7.34913,4.53015,30
7.35746,4.53029,30
7.3658,4.53058,30
7.37413,4.53096,30
7.38246,4.53109,30
7.3908,4.53129,30
7.39913,4.5316,30
7.40746,4.53185,30
7.4158,4.53203,30
7.42413,4.53236,30
7.43246,4.53254,30
7.4408,4.53274,30
7.44913,4.53295,30
7.45746,4.53334,30
7.4658,4.53353,30
7.47413,4.53383,30
7.48246,4.5341,30
7.4908,4.53434,31
7.49913,4.53444,31
7.50746,4.53469,31
7.5158,4.53488,31
7.52413,4.53511,31
7.53246,4.53531,31
7.5408,4.53545,31
7.54913,4.53571,31
7.55746,4.53586,31
7.5658,4.53621,31
7.57413,4.53613,31
7.58246,4.53646,31
7.5908,4.53664,31
7.59913,4.53686,31
7.60746,4.53705,31
7.6158,4.53718,31
7.62413,4.53734,31
7.63246,4.53753,31
7.6408,4.53786,31
7.64913,4.5381,31
7.65746,4.53839,31
7.6658,4.53853,31
7.67413,4.53874,31
7.68246,4.53893,31
7.6908,4.5393,31
7.69913,4.5393,31
7.70746,4.5396,31
7.7158,4.53998,31
7.72413,4.54028,31
7.73246,4.54045,31
7.7408,4.54056,32
7.74913,4.54091,32
7.75746,4.54106,32
7.7658,4.54125,32
7.77413,4.54138,32
7.78246,4.54167,32
7.7908,4.5417,32
7.79913,4.54187,32
7.80746,4.54218,32
7.8158,4.54221,32
7.82413,4.54248,32
7.83246,4.54259,32
7.8408,4.54283,32
7.84913,4.54307,32
7.85746,4.5433,32
7.8658,4.54329,32
7.87413,4.54345,32
7.88246,4.54357,32
7.8908,4.54382,32
7.89913,4.54394,32
7.90746,4.54408,32
7.9158,4.54431,32
7.92413,4.54442,32
7.93246,4.54455,32
7.9408,4.54477,32
7.94913,4.54495,32
7.95746,4.54513,32
7.96579,4.54539,32
7.97413,4.54559,32
7.98246,4.54587,32
7.99079,4.54617,32
7.99913,4.54626,33
8.00746,4.54654,33
8.01579,4.54666,33
8.02413,4.54665,33
8.03246,4.54712,33
8.04079,4.54722,33
8.04913,4.54732,33
8.05746,4.54757,33
8.06579,4.54771,33
8.07413,4.54807,33
8.08246,4.54816,33
8.09079,4.54838,33
8.09913,4.54846,33
8.10746,4.54867,33
8.11579,4.54887,33
8.12413,4.54898,33
8.13246,4.54922,33
8.14079,4.5493,33
8.14913,4.54941,33
8.15746,4.54967,33
8.16579,4.54977,33
8.17413,4.55013,33
8.18246,4.55021,33
8.19079,4.55032,33
8.19913,4.5505,33
8.20746,4.55059,33
8.21579,4.55079,33
8.22413,4.55114,33
8.23246,4.55128,33
8.24079,4.55153,33
8.24913,4.55167,34
8.25746,4.55178,34
8.26579,4.5519,34
8.27413,4.55209,34
8.28246,4.5522,34
8.29079,4.55246,34
8.29913,4.55257,34
8.30746,4.55297,34
8.31579,4.55299,34
8.32413,4.55323,34
8.33246,4.55347,34
8.34079,4.55379,34
8.34913,4.55393,34
8.35746,4.55416,34
8.36579,4.55426,34
8.37413,4.55442,34
8.38246,4.55452,34
8.39079,4.55487,34
8.39913,4.55494,34
8.40746,4.55512,34
8.41579,4.55526,34
8.42413,4.55545,34
8.43246,4.55559,34
8.44079,4.55577,34
8.44913,4.55604,34
8.45746,4.55615,34
8.46579,4.55631,34
8.47413,4.55657,34
8.48246,4.55676,34
8.49079,4.55695,34
8.49913,4.5572,34
8.50746,4.55735,35
8.51579,4.55739,35
8.52413,4.55749,35
8.53246,4.55785,35
8.54079,4.55782,35
8.54913,4.5579,35
8.55746,4.55825,35
8.56579,4.55828,35
8.57413,4.5586,35
8.58246,4.55876,35
8.59079,4.55898,35
8.59913,4.55925,35
8.60746,4.55928,35
8.61579,4.55963,35
8.62413,4.55987,35
8.63246,4.55992,35
8.64079,4.56006,35
8.64913,4.56037,35
8.65746,4.56051,35
8.66579,4.56068,35
8.67413,4.56078,35
8.68246,4.56098,35
8.69079,4.56118,35
8.69913,4.56125,35
8.70746,4.56157,35
8.71579,4.56177,35
8.72413,4.56202,35
8.73246,4.56226,35
8.74079,4.56246,35
8.74913,4.56273,35
8.75746,4.56293,35
8.76579,4.56291,36
8.77413,4.56294,36
8.78246,4.56316,36
8.79079,4.56336,36
8.79913,4.56348,36
8.80746,4.56366,36
8.81579,4.56382,36
8.82413,4.56394,36
8.83246,4.56412,36
8.84079,4.56433,36
8.84913,4.56451,36
8.85746,4.56473,36
8.86579,4.5648,36
8.87413,4.56514,36
8.88246,4.56537,36
8.89079,4.56549,36
8.89913,4.5657,36
8.90746,4.56608,36
8.91579,4.56612,36
8.92413,4.56628,36
8.93246,4.56662,36
8.94079,4.56674,36
8.94913,4.56688,36
8.95746,4.56716,36
8.96579,4.56735,36
8.97413,4.56752,36
8.98246,4.568,36
8.99079,4.5682,36
8.99913,4.56833,36
9.00746,4.56845,36
9.01579,4.56871,37
9.02413,4.56867,37
9.03246,4.56894,37
9.04079,4.56907,37
9.04913,4.56937,37
9.05746,4.56945,37
9.06579,4.56963,37
9.07413,4.56977,37
9.08246,4.57,37
9.09079,4.5702,37
9.09913,4.57039,37
9.10746,4.57069,37
9.11579,4.57077,37
9.12413,4.57101,37
9.13246,4.57123,37
9.14079,4.57133,37
9.14913,4.57158,37
9.15746,4.57172,37
9.16579,4.5719,37
9.17413,4.57226,37
9.18246,4.57254,37
9.19079,4.5728,37
9.19913,4.57306,37
9.20746,4.57329,37
9.21579,4.57374,37
9.22413,4.57395,37
9.23246,4.57415,37
